Company,ETR,PROFIT,SIZE,GROWTH,LEVERAGE,GLIC_LTAT,GLIC_KWP,GLIC_LTH,GLIC_KNB,GLIC_PNB,GLIC_KWSP,BODsize,BODind,Duality,MusCh,MusCEO,MaleCEO,AUDsize,AUDind,Audit firm,INDIPC,IND TradSER,IND Plant,IND Const,IND Finance,IND indstrial prod,IND cons
TH PLANTATIONS BHD,1,0.029949347,6.502057949,1.33,0.500839707,0,2.81,71.22,0,0,6.5,10,7,0,1,1,1,3,2,1,0,0,1,0,0,0,0
AFFIN HOLDINGS,0,0.013900268,7.730261973,0.83,0.395930711,35.22,0,0,0,0,5.78,10,4,1,1,1,1,4,4,1,0,0,0,0,1,0,0
BOUSTEAD HOLDINGS,1,0.071098581,7.102526318,1.2,0.589084476,61.36,0,0,0,0,0,6,3,0,1,1,1,3,2,1,0,0,1,0,0,0,0
Tenaga Nasional Berhad,1,0.017680059,7.872629367,1.11,0.585701222,0,3.75,3.82,35.55,0,13.58,14,6,0,0,1,1,5,4,1,0,1,0,0,0,0,0
Axiata,1,0.072094545,7.688884233,2.89,0.538244307,0,1.81,0,37.69,1.56,11.95,10,7,0,1,1,1,4,3,1,1,0,0,0,0,0,0
MALAYSIA AIRPORTS,0,0.058753867,7.021895797,1.63,0.555165471,0.4,1.11,0,40.22,1.14,0,13,4,0,1,1,1,4,3,1,0,1,0,0,0,0,0
Chemical company of Malaysia,0,0.045738237,6.302473361,1.21,0.562449605,0,0,1.86,0,69.28,9.4,16,6,1,1,1,1,5,4,1,0,0,0,0,0,1,0
Chemical company of Malaysia,1,0.027096604,6.265751025,0.7,0.497139848,0,0,2.7,0,71.35,0,8,3,0,1,1,0,3,2,1,0,0,0,0,0,1,0
Axiata,0,0.097757319,7.579595083,1.71,0.466119678,0,0.88,0,38.86,0.93,13.31,8,5,0,1,1,1,3,3,1,1,0,0,0,0,0,0
BOUSTEAD HOLDINGS,1,0.045606544,7.220813897,1.21,0.613123233,58.89,8.94,0,0,0,0,6,3,0,1,1,1,3,2,1,0,0,1,0,0,0,0
MALAYSIAN RESOURCES (MRCB),1,0.032258435,6.639342032,1.65,0.696808113,0,0,0,0,0,41.53,8,4,0,1,1,1,3,3,1,0,0,0,1,0,0,0
Chemical company of Malaysia,0,0.002138869,6.21151993,0.68,0.45892463,0,0,5.07,0,71.35,0,9,4,0,1,1,0,3,2,1,0,0,0,0,0,1,0
Tenaga Nasional Berhad,1,0.067831886,7.995747921,1.31,0.642608939,0,0.96,0,32.42,0,10.74,12,6,0,0,1,1,4,4,1,0,1,0,0,0,0,0
Axiata,1,0.100056346,7.630089655,2.25,0.484206851,0,1.24,0,38.03,0.52,10.27,9,6,0,1,1,1,4,3,1,1,0,0,0,0,0,0
Tenaga Nasional Berhad,1,0.068198397,7.869379589,1.28,0.602655582,0,2.99,3.83,35.63,0,11.84,14,6,0,0,1,1,5,4,1,0,1,0,0,0,0,0
Malayan Banking Berhad,1,0.018424502,8.525219531,1.63,0.414467433,0,2.99,0,0,5.92,10.9,12,7,0,1,1,1,5,4,1,0,0,0,0,1,0,0
Tenaga Nasional Berhad,1,0.067337429,8.043952203,1.57,0.607237944,0,1.98,0,31.23,0,13.68,11,6,0,0,1,1,6,5,1,0,1,0,0,0,0,0
Axiata,1,0.092443766,7.636039238,3,0.505746684,0,1.36,1.17,37.89,0.54,11.13,9,6,0,1,1,1,4,3,1,1,0,0,0,0,0,0
TH PLANTATIONS BHD,1,0.023828395,6.553207161,1.53,0.548542384,0,1.38,71.79,0,0,6.92,5,3,0,1,1,1,5,4,1,0,0,1,0,0,0,0
Tenaga Nasional Berhad,1,0.071588837,7.946791609,0.96,0.580480642,0,3.72,3.79,35.2,0,12.76,12,6,0,0,1,1,4,4,1,0,1,0,0,0,0,0
Telekom Malaysia Berhad,1,0.061034837,7.354269828,3.05,0.647922896,0,3.08,0,28.95,0.98,12.74,17,7,0,1,1,1,5,4,1,0,1,0,0,0,0,0
Malaysian Building Society ,0,0.017434564,7.087282402,1.89,0.468826783,0,0,0,0,14.9,66.31,8,4,0,1,1,1,4,3,1,0,0,0,0,1,0,0
Telekom Malaysia Berhad,1,0.066819077,7.324841944,2.74,0.654506986,0,4.49,2.29,28.73,1.6,7.22,17,7,0,1,1,1,4,3,1,0,1,0,0,0,0,0
Telekom Malaysia Berhad,1,0.06308703,7.345908671,2.77,0.681656469,0,3.6,0.85,28.73,0.82,13.22,17,7,0,1,1,1,4,3,1,0,1,0,0,0,0,0
Telekom Malaysia Berhad,1,0.083384477,7.315829754,1.56,0.550951274,0,4.05,2.26,32,0.77,11.03,15,6,0,1,1,1,4,3,1,0,1,0,0,0,0,0
Telekom Malaysia Berhad,1,0.062023012,7.329826876,2.15,0.569306213,0,2.59,0,28.73,0.8,10.17,16,7,0,1,1,1,4,3,1,0,1,0,0,0,0,0
BIMB HOLDINGS,1,0.010866225,7.549393314,0.83,0.411923998,0,0,51.47,0,5.81,4.73,12,4,1,1,1,1,4,3,1,0,0,0,0,1,0,0
Malayan Banking Berhad,1,0.018123062,8.65308396,1.89,0.422919432,0,3.29,0,0,5.21,11.45,13,9,0,1,1,1,4,3,1,0,0,0,0,1,0,0
MALAYSIAN RESOURCES (MRCB),1,0.041446258,6.772006802,1.54,0.748577051,0,0,8.41,0,0,42.16,7,5,0,1,1,1,4,4,1,0,0,0,1,0,0,0
BOUSTEAD HOLDINGS,1,0.049693482,7.140910098,1.11,0.610953675,61.47,3.69,0,0,0,0,6,3,0,1,1,1,3,2,1,0,0,1,0,0,0,0
Malayan Banking Berhad,1,0.018013964,8.74724186,1.97,0.414559418,0,1.99,0,0,5.68,13.76,12,8,0,1,1,1,4,3,1,0,0,0,0,1,0,0
MALAYSIAN RESOURCES (MRCB),1,0.059392912,6.845478749,1.31,0.70532857,0,0,9.79,0,0,38.37,9,4,0,1,1,1,4,3,1,0,0,0,1,0,0,0
MALAYSIAN RESOURCES (MRCB),1,0.027274737,6.730921099,2.23,0.740184551,0,0,2.37,0,0,42.2,8,5,0,1,1,1,4,4,1,0,0,0,1,0,0,0
Malayan Banking Berhad,1,0.018312501,8.693346486,1.66,0.410945587,0,1.77,0,0,5.06,13.97,13,9,0,1,1,1,4,3,1,0,0,0,0,1,0,0
Malayan Banking Berhad,1,0.016268188,8.805771278,1.71,0.414386385,0,2.4,0,0,5.35,12.82,13,9,0,1,1,1,5,4,1,0,0,0,0,1,0,0
TH PLANTATIONS BHD,1,0.077617859,6.402600086,1.08,0.401265152,0,2.08,71.8,0,0,5.81,9,7,0,1,1,1,3,3,1,0,0,1,0,0,0,0
